s	scores
1060	[0.4490651253687908,-0.03624630668254048,0.0027486752111047885,0.005625126544837787,0.021642835430779737,-0.020558849141459872,0.002420995554566222,-0.03355806784024959,-0.059236622462266846,-0.09762040793244846]
1061	[0.44227436353291166,-0.04307042625092734,-0.017354577033360418,0.015388550446510696,0.00539776677378607,0.014348995964510372,-0.0987948474995137,-0.08792532036314177,0.005236697403868105,0.026641908974819797]
1062	[0.4387484962494838,-0.041938909402049154,-0.017279458928726975,0.004514165766277768,0.0162381522197491,0.0153429736516704,-0.10548368828482176,-0.08060505845980012,0.0024864373475984095,0.010473914129602314]
1063	[0.43136764476042383,-0.034370031179960014,-0.00478721694633555,2.6054241284666365E-5,0.010535396702044272,0.005343112466432211,-0.09200858205828329,-0.08275553980260228,-0.019293685461097842,0.012081544340228876]
1064	[0.44432518740908467,-0.0399298449852264,0.004316009857270389,0.0039448696751105015,0.02595968698643891,-0.021361972213417273,-0.0015644994288792034,-0.04309807667747727,-0.08317383486064991,-0.10513657827100086]
1065	[0.4290090576615263,-0.0225245951685656,0.008485600314245641,9.555310560574186E-4,-0.010320043929697464,0.006157358827917587,-0.0312905747536704,-0.030628407889013318,-0.06328411317194718,0.02483465717602097]
1066	[0.4369448253247618,-0.035512787165726936,0.0016965742389695644,-0.0014591754052561087,0.026194453627987606,-0.025417500824982092,-0.002311947816375221,-0.0447073654015682,-0.06424482575607023,-0.12192098957932235]
1067	[0.44606272004931136,-0.03527479457320752,0.007731280119172195,0.004224045768873901,0.027115784274089866,-0.02001107180487671,0.023101853221587077,-0.01943901568680934,-0.0775016760578792,-0.0799965431294921]
1068	[0.4373875143155471,-0.02708939860951056,0.009280011276239782,-0.0035540584944605933,-0.010599989074955797,0.01392013548342368,-0.03150680752708893,-0.03657231699566355,-0.05975298084123827,-0.003110074140699887]
1069	[0.4309693298665719,-0.024190259411956103,0.0031722655769332937,-0.0028788654823004565,-0.013274237874781419,0.0016035169111420057,-0.037776362393701475,-0.040236774979725776,-0.06148716256399137,-0.010784226347718445]
107	[-0.1819791949494115,0.11177920993398598,-0.2265866535546585,0.005669708949930182,-0.08959385686150413,1.2749713129286733E-4,0.11837949561944129,-0.10256433507109006,-0.04801828908261298,0.028963538853444337]
1070	[-0.11932115464026402,0.10438829412113983,0.11007394532826321,0.08132051296608583,0.0087293988953121,0.053254102267978484,-0.009740415709605814,-0.006676202581431778,-0.006895589922943727,0.03239435674540608]
1071	[-0.12082499635877922,0.11554684858693516,0.10484903978365029,0.09260663879463067,0.002440076051400194,0.04608017781690214,-0.007178227732889679,-6.604614138234857E-4,-0.0020857090273604458,0.032953883841998446]
1072	[-0.12271686796262075,0.12124261844981697,0.09876480453964807,0.07810637807341834,0.012921021529870435,0.02217554794587626,0.024103663580837525,0.015327749627052698,-0.018862909291095326,0.0016408049306079356]
1073	[-0.12021449184050667,0.10373141452881324,0.11998872081706281,0.09217184945721371,0.015926408310464945,0.04080524658255145,0.030623715309425967,0.0145104098770447,-0.015306292592677908,0.00887186746328373]
1074	[0.44939163093761003,-0.027196955612703504,0.004328638526347518,-0.006180379104992259,0.002642341259795643,-0.018852602522589516,0.06677479460703145,0.06356623609238489,0.04139748484479745,-0.0661571609935661]
1075	[0.43939892888307563,-0.03268326447866358,-3.0874499157524803E-4,0.005222869414786898,0.020450472314402352,-0.025802307659095643,0.06776513291169727,0.03933777587709327,0.037666851679843086,-0.12100656739238336]
1076	[0.44334052127258944,-0.033801486200403394,8.97694154553517E-4,0.008253377935569151,0.021521235712389435,-0.02215040664973508,0.0650098564205981,0.030767373307625523,0.009780670278144641,-0.12116277958904166]
