s	scores
1772	[-0.11803361116658156,0.02884942999831882,0.08741493799737524,-0.2550383503058597,0.11064818858817,0.06607859822438017,0.039526736161339775,-0.004598528038821758,-0.006064628735730567,-0.017467279331382143]
1773	[-0.11546818117152291,0.0639966252372284,0.03317286985813907,-0.18404103431378374,0.07705382447649468,0.031052073805007397,0.003003677967239507,-0.011219747319887206,0.025625288295664368,-0.00703851000396341]
1774	[-0.14934502620347248,0.021064923029794794,0.09041545663825018,-0.2714161596850703,0.1297461354439618,0.0804662849902627,0.03722084031894229,-0.010826725995564185,0.0016013049271127056,-0.012027952797902048]
1775	[-0.13660599852589958,0.019985495361182694,0.09914035588254833,-0.28770580559353903,0.13027757494275907,0.08964347406170486,0.042077478304965756,-0.008750047792753122,-0.011346430431527292,-0.005846489836260683]
1776	[-0.11671223550572743,0.05297761407772732,0.06125080493197756,-0.20979006404820202,0.10431972683105872,0.04322667928693365,0.030233806861698204,-0.010962070027725269,0.008654858818837598,-0.01682746639878445]
1777	[-0.12388333472547548,0.04646348003274014,0.07576919874572176,-0.2451541607618867,0.10469498413543378,0.07187853975518427,0.032357671462025506,-0.008896883334641625,-0.002652121532703094,-0.007128263528774358]
1778	[-0.11223443393674253,0.10113972593899202,0.049022598171960155,-0.15923531542104682,0.060475211926203726,0.005546919270211167,0.004447554970058647,0.024186465549495172,-0.03016742979103089,0.01899086216341352]
1779	[-0.11257806526942102,0.0979691703123574,0.044442052487832624,-0.15632511424884796,0.060781474481458944,0.020157566108670085,0.010543048827216647,0.008523366634007476,0.004864974230955769,-0.012397142074176748]
178	[-0.22054002511859752,-0.297441208823951,-0.09218122285447314,0.0036802592777765066,-0.11073796475464925,0.0019122761834838708,0.10586211691358624,-0.08382832234658322,-0.011971348812960414,0.01481709459143869]
1780	[-0.12453048056296039,0.07648505535722383,0.052347628641674394,-0.1867646429094294,0.07505240752130059,0.038049015667544164,0.012284642642874056,0.0010923145038680636,0.008722068340142074,-0.01611567057630806]
1781	[-0.12263092359265838,0.11104558953645412,0.03329835915917911,-0.1450033127616276,0.05733953159200988,0.009525273838122067,0.0011654452426220726,0.003070660388249554,9.326233911470071E-4,-0.0031510389488252563]
1782	[-0.1520916622787177,0.011603278319773988,0.06661713507702953,-0.27359429033160054,0.14371284085159738,0.09049767316220257,0.03653784247971893,-0.020462960438341435,0.015628294019920906,-0.008743802367191196]
1783	[-0.1364903238844942,0.021047202104033682,0.05562166056107892,-0.25186726793919006,0.13222160232066327,0.0805177364228913,0.029208982535751205,-0.02819305861019242,0.030881176760874443,-0.008255276053911407]
1784	[-0.1289494638554214,0.03912413322006575,0.03924946911814025,-0.2151819034112579,0.11435795785582335,0.0625696504487495,0.013177088457105262,-0.025201448873286326,0.04090243942894269,-0.019076542521889246]
1785	[-0.11389345771522066,0.09352471546718122,0.05184768033695164,-0.16382606966972985,0.06787125846834986,0.014365975092217596,0.02187284935380111,0.005919748175967775,-0.00203246237006831,-0.020672294743853847]
1786	[-0.10688786404436179,0.11502056309396635,0.026936347451981087,-0.11059342334186242,0.04515822188654321,-0.005019478582980394,-0.07306466747932083,-0.02246322109780505,0.02697360513928412,0.02348273151117146]
1787	[-0.11630033651999705,0.079053029775413,0.06837553546890196,-0.1930928778092243,0.07733266594766948,0.031582747379197494,0.021877136889123246,0.02016520632110126,-0.03186874572461331,0.018475634324420592]
1788	[0.2385104391222124,-0.001406625733080742,-0.11192087369487078,0.0015425218864661913,-0.0747812924774201,0.09283964723590575,-0.05303378552025973,0.030157813017901908,0.047675559382342365,0.010614953363938686]
1789	[0.21669844611280736,0.007573673209652345,-0.13700983610713488,-0.007285759328430236,-0.08194702676841954,0.08912413124626772,-0.04344445206815116,0.018231559002119733,0.04526715474329392,0.028450454578877234]
179	[-0.17915759835511294,-0.22488256972990603,0.11053128731027662,-0.03325171889859784,-0.03773895369100926,-0.04738699411068262,-0.13221667589830594,-0.044339905646878064,0.0933453607383931,-0.007945133920793598]
1790	[0.25830066748310915,0.0012418035672096869,-0.11058548487529783,-0.00518458241256685,-0.06672321649950119,0.08079906376733875,-0.04705013705509751,0.03820350653434172,0.061632169501728826,0.020204245718562996]
1791	[0.30373406018233745,-0.029905187864005124,-0.1196064093536156,-0.005204212982150041,-0.07472856215626932,0.09886033324195048,-0.028875370229638046,0.03556435170975774,0.07646913807309992,0.026182586126107726]
1792	[0.3389032150633272,-0.0362430742426879,-0.10333575469370421,-0.011963164890664776,-0.07093042282011963,0.09826513232948059,-0.033025260870637105,0.025831972967738568,0.031108931314275116,0.04915121017595511]
1793	[0.3095917977152592,-0.028070052694781605,-0.11247832761398252,-0.009422105236949939,-0.0741542219063254,0.09766642357392845,-0.022983477193698566,0.04519975051910667,0.0456950798253019,0.006683315650465212]
1794	[0.32728368875961206,-0.028819600881662275,-0.106482873512258,-0.012072083294960241,-0.06286479418127587,0.07879774114447576,-0.029363398916362825,0.023071409901722763,0.042931441635574163,0.024366383138305688]
1795	[0.3405807259889324,-0.031315250716166206,-0.10408220246817672,-0.01930955414471171,-0.056955946010897866,0.09757719433474416,-0.03758104466534748,0.017533427226399546,0.04463294295340255,0.016863173909583543]
1796	[0.22771700510836873,0.00524394152906365,-0.12029721994647617,-0.01619233270422273,-0.07405029775884306,0.0899144480735133,-0.03929539832911633,0.030990002548546974,0.04735352440734148,0.02087025535233608]
1797	[0.3444275919043713,-0.03240315749411487,-0.10564674759336756,-0.005958609003496786,-0.06758116396403914,0.09967199636363652,-0.035012027894448315,0.023134079704318487,0.03689069725778094,0.012888433387889534]
1798	[0.3541451659417744,-0.04290907937120255,-0.11148446733998242,-0.006261253580511687,-0.07026087644241695,0.09667011738854273,-0.03509311817590232,0.023544484916254858,0.05475376811915701,0.019518250967575566]
1799	[0.3415367420915436,-0.03563469018696518,-0.1165911795528738,0.0038107866196132423,-0.06558245365908102,0.1027059816391574,-0.034612058890107766,0.037951243138952935,0.04900647172954002,0.01108183752544765]
18	[-0.16053418689418483,0.1539604033423082,-0.15188620285747906,0.013255302410504396,0.003793307143922793,-0.08148590618321468,0.04027768516772497,-0.07436387937861431,0.047852755202197436,0.013231101734132288]
180	[-0.18907479469795793,-0.23205288845357008,0.05440851543464498,-0.02035733973217754,-0.054243963008342326,-0.07006679445970809,0.04113556097556986,-0.05943122509961545,0.04371493081059214,0.005948664223674739]
1800	[0.15969026593730445,0.00535034672135852,-0.09130183819999863,-0.047008615414562104,-0.05740838540273418,0.09700343765260318,-0.03458930221417566,0.012022323135036143,0.0448088128642575,0.006956032068896728]
1801	[0.2804678548756162,0.03317996283962436,0.011316357713054323,-0.006747222578968161,-0.0021276123593972195,-0.036044333224861926,0.03893741101444567,0.04749745119790016,-0.020310074577763623,0.021793605546533278]
1802	[0.21539502128780355,0.06403587717397524,-6.131981040600861E-4,-0.008561386443224293,-0.005034061020876869,-0.054878994008922426,0.023734895094595337,0.04069134062802594,-0.020091633934925166,-0.006086843704648269]
1803	[0.31902045063381845,-0.0214091437886295,-0.11190602537268347,-0.0046425125535479944,-0.06275740885041103,0.08637454828989717,-0.03469878457981506,0.026130715672070842,0.06192301017415657,0.042140102264202776]
1804	[0.3498583667769016,0.003177576561672157,0.010828667918954434,-0.00640319767306579,-0.005960751807636438,-0.03627118852860546,0.03931314626056684,0.05269397037783079,-0.02116401154977456,0.037918031923285085]
1805	[0.24645342377205193,0.04155281789535343,-2.786924752487831E-4,-0.013244499665669296,-0.0031547987038275183,-0.04630245164252176,0.027502309474843795,0.023118726525383833,0.0057184571669659555,-0.027328611585218474]
1806	[0.37069978578951585,-0.0023468205712930683,0.005868648235774032,-0.014579024063906388,3.418477828488672E-4,-0.028101726859369534,0.03456035951643318,0.014363746444830603,-0.01686442490339504,-0.04195613546521172]
1807	[0.3134866233860358,0.013148548837879042,-0.01810969456940767,-0.006178002470431054,0.0020655992116738837,-0.03427047111838779,0.03306516255327459,0.015723159365616975,0.056082273731362584,-0.028369119435919892]
1808	[0.3252400305275936,0.012096304356577315,0.0034415863095552325,-0.009421718931148878,6.716848210183903E-5,-0.02119455418067749,0.04382402683187204,0.03504148743521069,0.03695440209033963,-0.03552512451657878]
1809	[0.2827176792215721,0.038544314768508406,-0.004207853272839972,-0.01606296038481984,-1.4337449954473822E-5,-0.03514011159901525,0.027147917847139925,0.01969472807249658,0.0012841577902721927,-0.03260344190696306]
181	[-0.18746137268887555,-0.23456635965985592,0.06849469455412965,-0.027908820642736275,-0.06090615898617698,-0.07516284268703592,0.03056569042381326,-0.05025905281985561,0.03526544603344108,0.004363302883891036]
1810	[0.3334428654186835,0.006773110896609218,-0.0062931052663511115,-0.018939728295611594,0.002111071137017547,-0.034694245197881224,0.028734189191465868,0.008587981274958448,0.008397349478007372,-0.05066528866717843]
1811	[0.3926941959561305,-0.056102045011243856,-0.09329241557882192,0.0066648311352168685,0.005932640324181702,0.019416757977427146,0.0319541598973776,-0.014421594080525062,0.04740035492953654,-0.014899312582800313]
1812	[0.3358674302375455,0.00541938454064122,0.0038754003159670223,-0.01553485111802465,-0.003620880319074248,-0.03308161436146648,0.04135884967543497,0.0367112155222134,-0.0027931007530354116,-0.0283025613806103]
1813	[0.2991197325757791,0.017046518732582856,6.588318473680628E-4,-0.01228444213783025,-0.011094229940086813,-0.044655388680422174,0.024948192974660582,0.01782749108272785,-2.378103464548527E-4,-0.021777194506478633]
1814	[0.3765803792606604,-0.006510664627291296,0.014803962404563671,-0.0046357301687958785,-0.003255689920054184,-0.03167424813307693,0.0346662244619318,0.04860271255436471,-0.03676692428592493,0.012339689616684033]
1815	[-0.1481174235821647,0.03735428508272989,0.08482348844773048,-0.20495433500280943,0.07529627603724767,0.043270455659448405,0.024092713811684277,-0.0031223948711441643,-0.007061728469507206,-0.013353368913036404]
1816	[0.2682844515411292,0.03214252412392838,0.0014582560889625105,-0.014708040966763038,0.014262799367346627,-0.02862599721853457,0.029174758346076902,0.026116837562288785,0.01464562167229426,-0.04871514008879053]
1817	[0.37616746622967145,-0.013429380407045926,0.0016559211762767045,-0.0019148266283163877,0.013768050154173078,-0.02331309344084833,0.03210500512583702,0.013349475302766829,0.012022600438389801,-0.045548971812712905]
1818	[0.299214980059609,0.0140224423327879,0.007261519799175239,-0.015328634981396666,-0.003931020536751901,-0.026251659508080054,0.03957332697614533,0.03659902403814928,0.008517252959842481,-0.03205838943146655]
1819	[0.36023631201330225,-0.01233843934994901,0.020351222258932315,-0.020081661204448695,0.005077216366222534,-0.02555028524441501,0.04868658525400394,0.04621745945633498,-0.03873070574956102,-0.018176540957724432]
182	[-0.2123400657067476,-0.2720197448309019,-0.04132493310840483,-0.005848808837921513,-0.07722909799489627,-0.01829937870196032,0.08466814682273069,-0.08111100713441717,0.00639928107727007,0.01979051567693548]
1820	[0.35679275409436645,-1.1595469762564626E-4,7.271845090325579E-4,-0.005469892846672514,0.00208569091018093,-0.028699161365800228,0.05378327683791351,0.032596587761111316,0.019182448723477994,-0.035859341849051984]
1821	[0.2895357630144258,0.02163185585677192,0.0020445379732262846,-0.008903409367417138,6.285631970717471E-4,-0.03672984387287356,0.027897587927355343,0.023943345551393377,0.023831845188227504,-0.03599532270591895]
1822	[0.20939087049489166,0.06282860033959335,-0.0021802005783629515,-0.009746761221088893,1.6262917821683278E-4,-0.05163207021018882,0.023291363223139672,0.019630459994003643,0.005135768759156129,-0.047263858399911304]
1823	[0.28997724370271005,0.026218291395597174,0.0027547144246152077,-0.00667814119899849,-9.246047086773712E-4,-0.03818373608178693,0.029978970565209612,0.026426052714799458,0.02216342584424595,-0.027605912866555636]
1824	[0.34239296770568917,0.0014593582752080803,0.006473863397666873,-0.01659736160159872,0.0018169412603748262,-0.026124969887544206,0.03543874541785894,0.014543214798070537,-0.005622062699404901,-0.04964663171859282]
1825	[0.3347273864088664,0.0065868625946142135,-0.01679599834917245,-0.017669760776090077,-0.006354859349534059,-0.01967030704844838,0.023063774351309532,0.012759455915061354,0.021323082480928856,-0.029950993869906704]
1826	[0.2520769554142909,0.04446126975628356,0.008680216963308432,-0.009728028115008391,-0.005732027596627718,-0.04872688912794183,0.04412577373443919,0.05531823957290017,-0.020286283076931345,-0.005136651960911638]
1827	[0.3186615610609579,0.007245598648040536,-0.0011224652084855648,0.005405543899925443,0.005138455030876523,-0.03687537616183999,0.02795540885708403,0.020468537089625306,0.00906775136093452,-0.045400001268815264]
1828	[0.3242892897255452,0.006148553388863418,-0.015041122941493023,-0.008194056212701395,-8.836960910699667E-4,-0.025920096662484626,0.040285740290463994,0.01363984041600791,0.025723337824306088,-0.03189183727703152]
1829	[0.35325246608166844,0.0011417252494252302,0.01773997184603231,-0.004316932561563289,-0.006898375918701109,-0.02420388139964305,0.030766906659931825,0.036084960169103154,-0.03851117924415358,0.018841586262448015]
183	[-0.20276138014257516,-0.25428319754026363,-0.011232222821226379,-0.014169956177575342,-0.07948717082836919,-0.02149124393491924,0.07814004802097022,-0.07153824677718322,0.008561161375857733,0.013500331751870617]
1830	[0.3020218704159069,0.02358301489901472,0.01296119666379065,-0.002266730611653796,-0.00191443805409553,-0.03532176073781705,0.03609820085178398,0.0271350740054031,-0.036025154949277924,-0.020906335482340582]
1831	[0.27310850819484966,0.021989979729518844,0.010184625542908896,-0.01862836508004061,-0.0067837606311549874,-0.03568491014999196,0.010089390958115516,0.025492260893893302,-0.02760119384741158,0.028168355152972602]
1832	[-0.12307291607356735,0.20667016379162312,-0.009474476200203261,-0.009441696327258184,-0.013233534345379269,-0.0952001019820779,-0.025373210435975877,0.03184900427654597,-0.025490314191033956,0.011731102811459023]
1833	[-0.12105483091935144,0.21505760676984306,-0.006970766953635902,-0.004657241211121899,-0.009260262632629896,-0.08980644586673239,-0.023910402778090343,0.03944925343413705,-0.023952367777654474,0.011246655129857376]
1834	[-0.1202183228956909,0.21956172430313067,-0.01716024479845939,-0.010448228687734014,-0.009128680667212062,-0.1013281529377942,-0.03874860033182445,0.033272536264823224,-0.014206527847745485,0.006800064507149876]
1835	[-0.1215802322080038,0.21112950874674172,-0.007983582801136346,5.369029273603801E-4,-0.016694176358337504,-0.09713914208142857,-0.025546085895304563,0.03992400196540117,-0.024777556551660314,0.016931278297848837]
1836	[-0.11894594253970242,0.21072444488741576,-0.00785623689548633,-0.002884324170304099,-0.0184058545116496,-0.09656093152402351,-0.027824619383494602,0.038880045725135384,-0.024774682520430278,0.02077747555319365]
1837	[-0.12158618684347164,0.21107740369427486,-0.021095920539060193,-0.0023390679989415022,5.317655471523032E-4,-0.08936949588201357,-0.028243407136332586,0.012362256029342343,-0.0023844089810117148,-0.03245155801223631]
1838	[-0.12322920121423651,0.21285267475867525,-0.008499317303070703,-0.008110117135823294,-0.015315710169499511,-0.09576990491081744,-0.027620214001481586,0.04426473462957917,-0.023445226342587944,0.016243200963994536]
1839	[-0.12215143132837263,0.21339183711149357,-0.007891575986662092,-0.006377242141007878,-0.01570143704065408,-0.09590499857339156,-0.022446045881719154,0.03744558830063192,-0.02260681401552395,0.006763303771372537]
184	[-0.1749148225113772,-0.22024350415390806,0.11032009343893626,-0.029185594888027147,-0.03988661742872972,-0.045219328171413824,-0.11542057262912626,-0.044560721127733786,0.09052419903014097,-0.00652614090069612]
1840	[-0.11954804441811549,0.21482565079279625,-0.015928539251260143,-0.016685261452883075,-0.017714043520127523,-0.10816314405955492,-0.03231790646188441,0.0360105568960139,-0.02420367665871476,0.008326980690769965]
1841	[-0.12787334353259322,0.20718129956287604,-0.0023913170940060985,-3.2123657846136087E-4,-0.019069526286708036,-0.09310998228449305,-0.03394897238580169,0.042213231667898615,-0.025685769518416404,0.020678899283962233]
1842	[-0.12229483850623217,0.21723332968405143,-0.008364414682698364,-0.002051602683662749,-0.01619803763231653,-0.09809574583633603,-0.02737158511080941,0.044264699048508487,-0.028088230404727944,0.014288675495434644]
1843	[-0.12924445390493336,0.21545767840730276,-0.010907427665335853,-0.008997088254893452,-0.011623866523943175,-0.09413010595722421,-0.025041721923588695,0.037087885315885034,-0.022757152304042648,8.50074047845195E-4]
1844	[-0.1213082599098389,0.19947526645476124,-0.0012448804617484891,-0.0015217644171774303,-0.022748819037794733,-0.09945626437767036,-0.026187093684330264,0.038817976349554445,-0.026572905226501343,0.012250932931838984]
1845	[-0.11674703734771419,0.20894291763520817,-0.006817090482153443,-0.0023516481449600266,-0.016546983477012545,-0.09479665131265928,-0.02482362161432652,0.039080432692868636,-0.02425743162883914,0.01193541257197857]
1846	[-0.12188773239970645,0.21129857300737961,-0.00869787414169442,-0.00553882540552217,-0.018755870208173042,-0.09460038796589978,-0.023870977739972397,0.040865551331985835,-0.021700506397048326,0.008140646769625047]
1847	[-0.12444272488182581,0.2140668390969089,-0.009628733943086557,-0.004922589956394998,-0.013464182363183808,-0.10132064013481173,-0.026938354364995046,0.04086537009664355,-0.021388889982082687,0.013321107060774174]
1848	[-0.1106378460487441,0.21271517754548555,-0.012686941649171262,-0.011379559412607673,-0.01449604967266948,-0.09578531939677348,-0.030758928948812672,0.03758551688677943,-0.022310794838683857,0.012091529020653264]
1849	[-0.12588023168430096,0.2156248193705146,-0.010733223460841861,-0.011477779560929718,-0.014144605545848654,-0.09845822887511556,-0.028260547476210218,0.04137421992666976,-0.02157556141605763,0.015126555839879714]
185	[-0.17546497064547376,-0.2196705517114128,0.11959531195187083,-0.033626236154962574,-0.05028909875372399,-0.04977893149953226,-0.12305815952418805,-0.03893923937745839,0.09074236454970823,-0.007188427083318462]
1850	[-0.12869989271059526,0.21483481261164267,-0.006478992172945397,-0.0075716830510402676,-0.012322664385054029,-0.09188729401437591,-0.025594657304773786,0.03412594666297966,-0.02737967570431109,0.009322661381939582]
1851	[-0.12418006223020339,0.21938515958456392,-0.013586318240750128,-0.006265571872867511,-0.015348281754062209,-0.0918004296077007,-0.0279410064147105,0.040458382905668194,-0.019943610953504012,0.013284802667978558]
1852	[-0.11864975966241688,0.21391823996940063,-0.0097991087825364,-0.009110007903235363,-0.01612876955766058,-0.09762696366913094,-0.02416531740210102,0.03972767221886389,-0.02824153522148967,0.008224253131395179]
1853	[-0.11932256361487571,0.20906552692182853,-0.007932253986101975,-0.011926290223627687,-0.01554912527253345,-0.09638551962430647,-0.028974304897628436,0.04487539098089724,-0.0229372522741686,0.008577594842940421]
1854	[-0.12414516495414313,0.21209221719169322,-0.011579117539675783,-0.0010552858948438717,-0.012824305804719707,-0.09626630966054306,-0.03506554684868338,0.030520629643855855,-0.020939583124057578,0.007968093052165236]
1855	[-0.12340076153844758,0.20971958750010938,-0.008648762004461623,-0.004529119357015673,-0.013223176190106647,-0.09462479491645946,-0.028386607604541383,0.04097969584445778,-0.0205951307191161,0.008431929320113097]
1856	[-0.1434198118056619,0.15351282630914195,-0.11582188348356096,0.012637380318365947,0.012346751308244601,-0.08300316532959807,0.026097206773437492,-0.0521998321753258,0.039568414787038195,0.014073821934317669]
1857	[-0.1475981273975534,0.14337551497112946,-0.1285565723126381,0.024845153045703994,0.01316530937846086,-0.07829426271877842,0.037655569468621836,-0.05538793279236551,0.04279883400821581,0.009858738376767793]
1858	[-0.14652634745121473,0.15366116336457344,-0.1345847574996836,0.01879024807478231,0.009175098740994947,-0.09124247032931389,0.0343993513422933,-0.05503533231216013,0.04986151192180754,0.010156872976936208]
1859	[-0.14748319482835454,0.15938743199144234,-0.1378777439370134,0.01992225520269744,0.013638243865157362,-0.0825150791753204,0.028462014392960172,-0.05868211224839727,0.053947773969731265,0.01058500073671887]
186	[-0.17696996438944743,-0.2432697650891386,0.10653969691094525,-0.027596381166998838,-0.022650765033817084,-0.04224616516284018,-0.14213000945129303,-0.051622349353480874,0.11490659827392491,-0.023289082736320573]
1860	[-0.12375483721243184,0.20560078003629623,-0.02021642427307824,0.009349372201272821,-0.0037652134590911426,-0.06410302271991418,-0.09520853921258332,-0.013014241364589889,0.02676208195474217,0.01888274918913009]
1861	[-0.14086819560871836,0.1606296697769287,-0.12783574128862774,0.024666415935508564,0.005420630742791124,-0.08702927118670273,0.019791078595721146,-0.04268027257630173,0.04873910648981941,0.0042172736094401924]
1862	[-0.14797711363048194,0.1531320286116484,-0.13306896546392602,0.02700858799114628,0.023627591555886764,-0.08016207283080255,0.031131000762307605,-0.056382515473358874,0.04898343021438375,0.012220695472294475]
1863	[-0.1497827332178434,0.14519392439263193,-0.13306808057373404,0.02918145490373015,0.01223090360508556,-0.08349507320260303,0.029633059659931363,-0.06506891243738153,0.0527408418661139,0.008515254338251281]
1864	[-0.1405525382559455,0.15270843226480363,-0.1228476329599099,0.017772497929744373,0.01589615247361117,-0.07590784214727436,0.023504281328235673,-0.05504612290941743,0.04808153079516008,0.01510371936717598]
1865	[-0.13905960192258138,0.16198786841600485,-0.12838782371922156,0.02814816609213623,0.016718338581609957,-0.08435571859922411,0.0232896443693165,-0.050753886376411955,0.04623763768312784,0.013217979149842024]
1866	[-0.14822558096053334,0.14119659919253202,-0.14429627153039362,0.021414920337513466,0.02332864671768401,-0.08697360529421382,0.04077272088468552,-0.06160459806998325,0.06632212717227852,0.012371025932271936]
1867	[-0.1643044299460331,0.10951701941421645,-0.18903203869338175,0.03979809266662631,0.0155144486187732,-0.043642128254099195,0.058243907342992264,-0.07221042876191826,0.03083958776570157,0.023017477195817718]
1868	[-0.1590831666493275,0.13567707083050495,-0.18667404101627605,0.039317073662219836,-0.004951867409283591,-0.05552458081793597,0.04806265636739623,-0.05946665083195049,0.042580408983430934,0.009557220524822128]
1869	[-0.16584969833511845,0.1171860647390487,-0.20129925247902272,0.032136973868200226,-1.9126694961159936E-4,-0.046774672607046985,0.0594204544234144,-0.052077023502630604,0.015276648146518284,0.0156451605658465]
187	[-0.19588023944610444,-0.2502630536080236,0.04748122244468484,-0.015143069395989667,-0.02825072283175576,-0.07243723274742853,0.033243818647880036,-0.05399212701141025,0.05134871837480505,7.776008658286398E-4]
1870	[-0.16032608030238468,0.1238235236912005,-0.18731834596856134,0.03498941173302956,-0.0036192999687924728,-0.04406333037022133,0.05080554565608552,-0.06037313348372461,0.028258083648076016,0.021971052193311084]
1871	[-0.1246790215177264,0.20801262649764263,-0.01672183557727887,0.004343402460582978,1.2635670116514696E-4,-0.09586950160976397,-0.0333478911166505,0.01130947932125476,9.84375094208463E-4,-0.05030540272192044]
1872	[-0.12587482126631194,0.207650565545689,-0.01749813019354725,0.007203952018239578,-0.003144580890860443,-0.09751037344284957,-0.029378589233072287,0.016334641785374884,0.001277671953393748,-0.0363944141477201]
1873	[-0.1497612696590138,0.14676714298276197,-0.13858636288032058,0.03393254089993764,0.02752373956410263,-0.08346031521123118,0.02304247490152142,-0.062092705540815245,0.05307232226591571,0.00512892336517773]
1874	[-0.13727576720934598,0.17844456250315258,-0.11999542940989916,2.9737496278289013E-4,-0.06759338783556314,0.022931929179221107,-0.08067722725833046,0.03568105284192965,0.03840833262036306,0.011965043537297137]
1875	[-0.12439827543737672,0.2063905694914748,-0.013684409066771534,0.003943108867110281,0.004019163041137259,-0.09160192052726514,-0.03188425762069231,0.01596589195895495,0.002024441011683057,-0.04721988395278775]
1876	[-0.14213031097651282,0.17663577721920223,-0.12117402773216075,2.752731862967005E-4,-0.07731824802621667,0.018758731778707488,-0.07004782182625613,0.026439631144772803,0.02796253510728237,0.005532599949469574]
1877	[-0.14529087875692004,0.1729488009198909,-0.13532832112060167,-0.0010274745821279513,-0.08369429484009933,0.016361162408601065,-0.07695354538210278,0.029142668292315786,0.04814673660779533,-0.0010618624192553399]
1878	[-0.14467492129235776,0.1762049326060882,-0.13423351151102086,-0.007609822088096167,-0.0752272122162897,0.031043822659913862,-0.08630138152698887,0.04245009971962741,0.03562176772775868,0.0067895377415333365]
1879	[-0.14464221235209526,0.17039821912337447,-0.12603779845617233,-0.006338845796494938,-0.0805427014138306,0.02792178350410251,-0.08077455613914561,0.03047201986438263,0.041180740410137445,0.010939235782389619]
188	[-0.1917008376313083,-0.23579679585324947,0.05177303919155625,-0.019378403408752822,-0.040049327163378744,-0.06435284277413182,0.03597812763019146,-0.0696612579018589,0.0703614944575891,0.005937113121750113]
1880	[-0.14149386394663896,0.16613771861595886,-0.13442262040357839,-0.006064644381420489,-0.07106300081218149,0.014334707137549437,-0.07694121143142349,0.022726780186313886,0.03753087679221984,0.01070644675116669]
1881	[-0.14397861168244155,0.16837753257810895,-0.14746991274561969,0.00364436221944022,-0.0829290364675703,0.04308827684604977,-0.0855713277544755,0.030490187528285254,0.04341088637748782,0.003573329162511413]
1882	[-0.138760797458375,0.177466786581341,-0.12815525258451535,-3.948494258884768E-4,-0.060043793299429035,0.015993637534034093,-0.07412878805949272,0.03178402141523488,0.04099904823491462,0.008262896647170333]
1883	[-0.14261769486759132,0.1756025918654204,-0.1182857876036864,-0.004213005088767565,-0.06097137960309992,0.016664869320264165,-0.06906508181072689,0.02183502627529634,0.03234116083928988,0.011196743294810435]
1884	[-0.14090926244315205,0.18408046780275442,-0.12536961961941495,-0.0044237273766804626,-0.0697120955794321,0.008844223074261515,-0.07923509200965002,0.03173819661021925,0.036911930830445965,0.006114670151640294]
1885	[-0.14097338486236682,0.17675525086175692,-0.135762752956604,-0.011539069818710177,-0.07286879555983376,0.0063967865842343066,-0.0868000909312941,0.027323344940886042,0.05100249686674657,0.017920083163082592]
1886	[-0.1468857154768594,0.17867902969766916,-0.12430115078154609,-0.007752811983411859,-0.09043834740166715,0.029407913445355163,-0.08082632285183963,0.029144275868057044,0.03363928505569286,0.003146863300625337]
1887	[-0.14189784028628394,0.17927239357824332,-0.12423687294118169,-4.2124400100848787E-4,-0.07107975795386945,0.02156018771446338,-0.06293997294153457,0.02289418758148629,0.02612192841601479,0.004711914952070124]
1888	[-0.13893518123676155,0.17781389219466426,-0.11617955014286548,-0.006911179333079582,-0.07599163587174154,0.02270682916242851,-0.0828648652465858,0.03803147742126658,0.03880316339188383,0.005394497810225162]
1889	[-0.13698555887001762,0.18111196545649,-0.1256367269105857,-0.0023052421254578714,-0.08092248928543264,0.017468158729580085,-0.08044463191172507,0.027436800955920968,0.03980741333566031,-7.954008325649194E-4]
189	[-0.2076441840980563,-0.2666888084045817,-0.04951122870517619,-0.026050796662466742,-0.1552167694599975,0.028986010955329027,0.09096201310382314,-0.04296626801632496,-0.08339991705023167,0.003067386883861541]
1890	[-0.1501467643961668,0.17569340436782682,-0.1333987694977087,-0.0013455033831971258,-0.07918204959980288,0.02150619553413612,-0.08578756249651717,0.03466727902954408,0.04751362167220294,0.007723207789152175]
1891	[-0.14660857401900915,0.18120846051642575,-0.13551730878249268,-0.0071050088703245185,-0.08597573120946965,0.021466319152103334,-0.07616320918686471,0.0378785607575171,0.03647880033476825,0.006098658550484459]
1892	[-0.17171419816425118,0.14573483237236504,-0.2596445716915173,-0.006318643294833879,-0.2078379104476383,0.1774879768480169,-0.06436180276002205,0.07267707180795725,-0.014582559803657693,-0.054821267884654266]
1893	[-0.11297362082523815,0.21667051936025508,-0.018406649923148753,0.0011412150934885428,-0.015555985222844152,-0.07194043953606333,-0.07076046502717095,0.00966634594564562,0.006854158429982549,0.009910651490467005]
1894	[-0.1510058803094954,0.1689095357809183,-0.17449878150345427,-0.0033665184198563122,-0.1168131122476311,0.05516141331036244,-0.061798709648653735,0.019916564799904647,0.04296889009131065,-0.008475384044679036]
1895	[-0.15858672046201341,0.14520554371181443,-0.20970512101291236,-0.0027876767267340018,-0.12564975541031842,0.08257519602136801,-0.056378935562929784,0.034656062256348916,0.03919374611644455,-0.019201444068871573]
1896	[-0.16269567167351473,0.1469987536673769,-0.20863434303364836,-0.005677616408475609,-0.10836991116414668,0.06441168440685188,-0.060458964272895446,0.019961026447870758,0.04681617243081962,-0.014207348707018447]
