,sample_id,ancestry,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,predicted
510,511,eas,-0.25910833901656655,-0.4255648368327863,0.24718438484960165,-0.11772722535165892,-0.18724364172983657,-0.001143768661400218,-0.09542320416272604,0.16492742277461436,-0.10309739227916649,-0.024280887783743196,False
511,512,eas,-0.2580851219854844,-0.41504535494486666,0.23897699862265873,-0.11679348023696186,-0.17705765824204323,-0.00580754887547147,-0.09007115385386077,0.15539719604579574,-0.1097579073083508,-0.021482599100717703,False
512,513,eas,-0.2607554220473651,-0.4301829115168291,0.25801665447451316,-0.13052506674371162,-0.18733066654388505,-0.004880878386722585,-0.09753505405859993,0.15957679449849943,-0.1094150762511482,-0.01911328154147655,False
513,514,eas,-0.2699518026181326,-0.4378551244217586,0.26146523017975754,-0.12148454679385831,-0.18810836524056965,-0.016440899462358317,-0.10978658063829438,0.16984136998599098,-0.09722001378721168,-0.03344603346746653,False
514,515,eas,-0.2585189894847151,-0.41379672693304564,0.2537772021920714,-0.1175620980813015,-0.1803466335953378,-0.014910568854373323,-0.084974641567489,0.15812715861523655,-0.1059423339845795,-0.025105131486325063,False
515,516,eas,-0.261169532809119,-0.4157029873853766,0.24389194002996,-0.11662339750668015,-0.1823618688029829,-0.0027794215188006234,-0.10355279786394574,0.16008984403533483,-0.09412219537257832,-0.03456542136609605,False
516,517,eas,-0.261608838718104,-0.4214367799068152,0.2413282773301351,-0.1195989798932777,-0.18587238438945286,-0.010699996655111102,-0.10353533639342262,0.15561628536712457,-0.10122737105637378,-0.031166829619510894,False
517,518,eas,-0.2499792458599951,-0.3995126019828087,0.208515561369065,-0.10795789962035274,-0.1671527790195775,0.0034996738775531265,-0.09679404914615797,0.14092629288952632,-0.07992253412365863,-0.028300224994403177,False
518,519,eas,-0.25587407366148307,-0.4093729490013292,0.22426690163329194,-0.1083464343115072,-0.18482515569332125,0.004648997364731191,-0.08964743029533143,0.13237484916637957,-0.07929363760350887,-0.018967966817827336,True
519,520,eas,-0.2644017190305605,-0.4285068604485865,0.24925287226062517,-0.12213238026191914,-0.18505872732906806,-0.007079755811663941,-0.0901783826748627,0.15222130551627008,-0.11395886712674279,-0.019410262590692475,False
520,521,eas,-0.25884883391415586,-0.4253073575766467,0.2426379334576764,-0.10670158742083158,-0.18335666724670507,-0.0004387082513286726,-0.08767045082496681,0.16223512184412792,-0.11303776759647279,-0.030875492474627144,True
521,522,eas,-0.2626820069527606,-0.422104054866771,0.25089889139557436,-0.12655103201967707,-0.17183462065777638,-0.009419103221232602,-0.09494452066011748,0.1765176234673427,-0.12938157761660551,-0.02814019675834313,False
522,523,eas,-0.26031492323867905,-0.42607713234619105,0.26955814986001586,-0.12792680957283573,-0.16745054938380696,-0.020282012437598595,-0.08906358062551671,0.15772594471798546,-0.11341115642446715,-0.02487874661283572,False
523,524,eas,-0.24278263983138862,-0.36776225213126534,0.16264026274011772,-0.07981758944892296,-0.1182270813690154,0.029451548839371136,-0.04214702145718161,0.04736888612387146,-0.0077557669695640045,0.009201243635416143,False
524,525,eas,-0.24595820779742872,-0.37027721172887335,0.18172979430958391,-0.08885467044011772,-0.13378214974381278,0.01688580591709529,-0.03269913799635494,0.05872329245768523,-0.0037474632053115875,-0.0005085797493144599,False
525,526,eas,-0.23547120520232376,-0.35774027094428745,0.1760092580517718,-0.0789142360337534,-0.12469308592667384,0.02226212048287422,-0.036031334311765056,0.05781175531040916,-0.013064323094067064,0.00015331458115422169,True
526,527,eas,-0.23256830374531678,-0.3510278579222688,0.1360836000381302,-0.08655554947059602,-0.12588697114715997,0.046748618922676455,-0.0345812844774688,0.024874325363824324,0.03374713437039184,0.01533732568934237,False
527,528,eas,-0.23755615579693437,-0.36771556493826474,0.16981770209731928,-0.08974347264286378,-0.1549068390981496,0.0316037739059127,-0.02208349282108803,0.03568989679520073,0.005251641820600813,0.01060165688627021,False
528,529,eas,-0.23995297555252304,-0.3678617603208959,0.17311817461614726,-0.09839700304896377,-0.14721357639051036,0.027902024822613523,-0.035229785175706754,0.05645438605811889,-0.018198644323241267,0.01405978898235512,True
529,530,eas,-0.23275682819115356,-0.35622834534421627,0.15306630289768566,-0.07696638751002037,-0.12333077278955563,0.04509413459925609,-0.024430581333583987,0.0358914433746912,0.0028540424315982704,0.019545277780411267,False
530,531,eas,-0.23556319203600273,-0.3544962183591825,0.15009769070923196,-0.07849264929649662,-0.12995834866778844,0.03545415692973461,-0.0158655004314692,0.02232993534321975,0.006809176312557148,0.016971969576169452,False
531,532,eas,-0.24245006035139247,-0.3639723840373408,0.16148558291664875,-0.09156699854597325,-0.1394746998878695,0.032428171684142075,-0.026810463523845914,0.041392461081666714,-0.009448879081403037,0.015072676532878398,True
532,533,eas,-0.23916252661118648,-0.37870262225151413,0.16674502447727457,-0.09110873073602596,-0.1377305273382087,0.028604972020879395,-0.023284972985660526,0.041146815664826704,0.0031233572597585573,0.017151840501626988,True
533,534,eas,-0.22268069218645903,-0.3361213310961656,0.10962512612558122,-0.0653992425249117,-0.1300031621577987,0.058248720816118316,-0.02889457581470501,-0.004446149367305986,0.0748262913050643,-0.004663151291444149,False
534,535,eas,-0.22620004080923684,-0.3226333895866996,0.07847640539847145,-0.057510505018533775,-0.10284828239178184,0.06759076379999207,-0.03198519186264272,-0.007295841673133938,0.07168683937128947,0.005566806556940454,False
535,536,eas,-0.21492285345388076,-0.3204787262971686,0.0843851107862593,-0.0662989698501876,-0.10873184829790708,0.06790683938190915,-0.04197567523107104,-0.004186763906768548,0.07431329715545648,0.009637495946379407,False
536,537,eas,-0.2209676757008753,-0.33283120521211995,0.08930610055836675,-0.06014737167824861,-0.11987125256885012,0.07590902852120007,-0.040050105871513905,-0.003053919666865166,0.08203869563369082,0.0023213303129427263,False
537,538,eas,-0.2119267443359572,-0.3030389580197586,0.058925390959551,-0.05063856289813146,-0.10052157943569767,0.06876795321723368,-0.030766917303288517,-0.011668173758424964,0.0695104214766442,0.006964097043981581,True
538,539,eas,-0.2153624948503006,-0.3094946694380666,0.08896236192059054,-0.06744158446523767,-0.12359364932271728,0.051785505431568415,-0.03415607889300062,-0.008913542886569599,0.06497977544972157,0.015257634218374387,False
539,540,eas,-0.18124726305645214,-0.2400477188300192,-0.07671400002628216,0.010279067288068218,0.021152215988590125,0.0305075670372686,-0.13040035660053081,-0.012776803235026045,0.09456477035141198,-0.017333860136169676,True
540,541,eas,-0.1850864517004995,-0.2406002396128616,-0.08216162241967959,0.003390810001880199,0.025469894970228814,0.018172270659088944,-0.14405784827074147,-0.02018049499095369,0.11044842839639679,-0.011765058000181414,True
541,542,eas,-0.18209800091305745,-0.2367991044090074,-0.08812896401558239,0.003822220038829541,0.03076173596028285,0.023847300805888184,-0.14160970488060354,-0.009081415412104952,0.10143256811302712,-0.009658232978556676,False
542,543,eas,-0.17517518542147714,-0.22910701358350968,-0.07935397500164505,0.0088212530564231,0.022144853410029162,0.018088137864993317,-0.14208220885445844,-0.019078310584308956,0.10459410607887301,-0.015172058377402367,False
543,544,eas,-0.17921230933113957,-0.23473221948758155,-0.08189942423238492,0.008634555899255889,0.024868288639682965,0.0122324816544733,-0.169662827118891,-0.02116391813647442,0.11182961637462528,-0.010443857950339006,False
544,545,eas,-0.18671887856832003,-0.2278411784486,-0.08310947100704104,0.005922655030350923,0.02878401131613767,0.022844153671559276,-0.1391532708650669,-0.009611221356895428,0.09396125325226766,-0.013411697596486107,False
